No,Date,Time,Inlet TSS (mg/L),Inlet pH,Outlet TSS (mg/L),Outlet pH,Inlet Disch (m3/s),Dosis CL-80 (ppm),Timestamp,Kolom T1,Kolom T2,Kolom T3,Efisiensi_TSS,Delta_pH,Beban_TSS
22,2025-06-01,03:00:00,692.0,7.58,62.0,7.57,2.29,2.4260067928190194,2025-06-01 03:00:00,2.4260067928190194,2.4260067928190194,2.4260067928190194,91.04046242774567,-0.009999999999999787,1584.68
23,2025-06-01,04:00:00,690.0,7.6,64.0,7.61,2.29,2.4260067928190194,2025-06-01 04:00:00,2.4260067928190194,2.4260067928190194,2.4260067928190194,90.72463768115942,0.010000000000000675,1580.1000000000001
24,2025-06-01,05:00:00,681.0,7.63,63.0,7.59,2.29,2.4260067928190194,2025-06-01 05:00:00,2.4260067928190194,2.4260067928190194,2.4260067928190194,90.7488986784141,-0.040000000000000036,1559.49
25,2025-06-01,06:00:00,683.0,7.65,60.0,7.55,2.29,2.4260067928190194,2025-06-01 06:00:00,2.4260067928190194,2.4260067928190194,2.4260067928190194,91.21522693997072,-0.10000000000000053,1564.07
2,2025-06-01,07:00:00,940.0,7.95,227.0,7.91,2.33,4.172627563185503,2025-06-01 07:00:00,2.4260067928190194,2.4260067928190194,2.4260067928190194,75.85106382978724,-0.040000000000000036,2190.2000000000003
3,2025-06-01,08:00:00,937.0,7.92,221.0,7.67,2.29,4.245511887433285,2025-06-01 08:00:00,4.172627563185503,2.4260067928190194,2.4260067928190194,76.41408751334045,-0.25,2145.73
4,2025-06-01,09:00:00,921.0,7.96,209.0,7.69,2.29,3.6390101892285296,2025-06-01 09:00:00,4.245511887433285,4.172627563185503,2.4260067928190194,77.30727470141152,-0.2699999999999996,2109.09
5,2025-06-01,10:00:00,873.0,7.93,192.0,7.71,2.29,3.6390101892285296,2025-06-01 10:00:00,3.6390101892285296,4.245511887433285,4.172627563185503,78.00687285223368,-0.21999999999999975,1999.17
6,2025-06-01,11:00:00,858.0,7.9,173.0,7.78,2.33,2.384358607534573,2025-06-01 11:00:00,3.6390101892285296,3.6390101892285296,4.245511887433285,79.83682983682984,-0.1200000000000001,1999.14
7,2025-06-01,12:00:00,797.0,7.79,160.0,7.86,2.37,2.344116268166901,2025-06-01 12:00:00,2.384358607534573,3.6390101892285296,3.6390101892285296,79.92471769134254,0.07000000000000028,1888.89
8,2025-06-01,13:00:00,765.0,7.83,145.0,7.95,2.42,2.2956841138659323,2025-06-01 13:00:00,2.344116268166901,2.384358607534573,3.6390101892285296,81.04575163398692,0.1200000000000001,1851.3
9,2025-06-01,14:00:00,747.0,7.88,129.0,7.91,2.42,2.2956841138659323,2025-06-01 14:00:00,2.2956841138659323,2.344116268166901,2.384358607534573,82.73092369477911,0.03000000000000025,1807.74
10,2025-06-01,15:00:00,728.0,7.81,117.0,7.85,2.46,2.2583559168925023,2025-06-01 15:00:00,2.2956841138659323,2.2956841138659323,2.344116268166901,83.92857142857143,0.040000000000000036,1790.8799999999999
11,2025-06-01,16:00:00,725.0,7.79,110.0,7.88,2.46,2.2583559168925023,2025-06-01 16:00:00,2.2583559168925023,2.2956841138659323,2.2956841138659323,84.82758620689656,0.08999999999999986,1783.5
12,2025-06-01,17:00:00,759.0,7.8,99.0,7.73,2.46,2.2583559168925023,2025-06-01 17:00:00,2.2583559168925023,2.2583559168925023,2.2956841138659323,86.95652173913044,-0.0699999999999994,1867.1399999999999
13,2025-06-01,18:00:00,774.0,7.88,95.0,7.71,2.46,2.2583559168925023,2025-06-01 18:00:00,2.2583559168925023,2.2583559168925023,2.2583559168925023,87.72609819121448,-0.16999999999999993,1904.04
14,2025-06-01,19:00:00,734.0,7.34,107.0,7.63,2.37,2.344116268166901,2025-06-01 19:00:00,2.2583559168925023,2.2583559168925023,2.2583559168925023,85.42234332425068,0.29000000000000004,1739.5800000000002
15,2025-06-01,20:00:00,741.0,7.3,103.0,7.68,2.37,2.344116268166901,2025-06-01 20:00:00,2.344116268166901,2.2583559168925023,2.2583559168925023,86.09986504723346,0.3799999999999999,1756.17
16,2025-06-01,21:00:00,738.0,7.33,105.0,7.65,2.37,2.344116268166901,2025-06-01 21:00:00,2.344116268166901,2.344116268166901,2.2583559168925023,85.77235772357723,0.3200000000000003,1749.0600000000002
17,2025-06-01,22:00:00,724.0,7.38,89.0,7.67,2.33,2.384358607534573,2025-06-01 22:00:00,2.344116268166901,2.344116268166901,2.344116268166901,87.70718232044199,0.29000000000000004,1686.92
18,2025-06-01,23:00:00,712.0,7.42,73.0,7.62,2.33,2.384358607534573,2025-06-01 23:00:00,2.384358607534573,2.344116268166901,2.344116268166901,89.74719101123596,0.20000000000000018,1658.96
44,2025-06-02,00:00:00,443.0,8.06,80.0,8.01,2.21,1.256913021618904,2025-06-02 00:00:00,2.384358607534573,2.384358607534573,2.344116268166901,81.941309255079,-0.05000000000000071,979.03
45,2025-06-02,01:00:00,450.0,8.1,86.0,8.04,2.21,1.256913021618904,2025-06-02 01:00:00,1.256913021618904,2.384358607534573,2.384358607534573,80.88888888888889,-0.0600000000000005,994.5
46,2025-06-02,02:00:00,456.0,8.17,83.0,8.07,2.21,1.256913021618904,2025-06-02 02:00:00,1.256913021618904,1.256913021618904,2.384358607534573,81.7982456140351,-0.09999999999999964,1007.76
47,2025-06-02,03:00:00,442.0,8.11,81.0,8.09,2.21,1.256913021618904,2025-06-02 03:00:00,1.256913021618904,1.256913021618904,1.256913021618904,81.67420814479638,-0.019999999999999574,976.8199999999999
48,2025-06-02,04:00:00,438.0,8.06,87.0,8.02,2.13,1.3041210224308817,2025-06-02 04:00:00,1.256913021618904,1.256913021618904,1.256913021618904,80.13698630136986,-0.040000000000000924,932.9399999999999
49,2025-06-02,05:00:00,433.0,8.04,89.0,8.05,2.17,1.2800819252432156,2025-06-02 05:00:00,1.3041210224308817,1.256913021618904,1.256913021618904,79.44572748267899,0.010000000000001563,939.61
50,2025-06-02,06:00:00,436.0,8.08,93.0,8.07,2.17,1.2800819252432156,2025-06-02 06:00:00,1.2800819252432156,1.3041210224308817,1.256913021618904,78.6697247706422,-0.009999999999999787,946.12
27,2025-06-02,07:00:00,712.0,7.77,78.0,7.88,2.29,2.4260067928190194,2025-06-02 07:00:00,1.2800819252432156,1.2800819252432156,1.3041210224308817,89.04494382022472,0.11000000000000032,1630.48
28,2025-06-02,08:00:00,618.0,7.68,75.0,7.68,2.29,2.4260067928190194,2025-06-02 08:00:00,2.4260067928190194,1.2800819252432156,1.2800819252432156,87.86407766990291,0.0,1415.22
29,2025-06-02,09:00:00,621.0,7.7,80.0,7.54,2.29,2.4260067928190194,2025-06-02 09:00:00,2.4260067928190194,2.4260067928190194,1.2800819252432156,87.11755233494364,-0.16000000000000014,1422.09
30,2025-06-02,10:00:00,614.0,7.73,79.0,7.59,2.29,1.8195050946142648,2025-06-02 10:00:00,2.4260067928190194,2.4260067928190194,2.4260067928190194,87.13355048859935,-0.14000000000000057,1406.06
31,2025-06-02,11:00:00,606.0,7.69,64.0,7.61,2.29,1.8195050946142648,2025-06-02 11:00:00,1.8195050946142648,2.4260067928190194,2.4260067928190194,89.43894389438944,-0.08000000000000007,1387.74
32,2025-06-02,12:00:00,502.0,7.86,42.0,7.84,2.29,1.455604075691412,2025-06-02 12:00:00,1.8195050946142648,1.8195050946142648,2.4260067928190194,91.63346613545816,-0.020000000000000462,1149.58
33,2025-06-02,13:00:00,498.0,7.8,58.0,7.57,2.29,1.2130033964095095,2025-06-02 13:00:00,1.455604075691412,1.8195050946142648,1.8195050946142648,88.35341365461848,-0.22999999999999954,1140.42
34,2025-06-02,14:00:00,474.0,7.89,67.0,7.71,2.25,1.2345679012345678,2025-06-02 14:00:00,1.2130033964095095,1.455604075691412,1.8195050946142648,85.86497890295358,-0.17999999999999972,1066.5
35,2025-06-02,15:00:00,481.0,7.79,88.0,7.87,2.25,1.2345679012345678,2025-06-02 15:00:00,1.2345679012345678,1.2130033964095095,1.455604075691412,81.70478170478171,0.08000000000000007,1082.25
36,2025-06-02,16:00:00,469.0,7.94,90.0,7.97,2.25,1.2345679012345678,2025-06-02 16:00:00,1.2345679012345678,1.2345679012345678,1.2130033964095095,80.81023454157783,0.02999999999999936,1055.25
37,2025-06-02,17:00:00,476.0,7.96,96.0,7.99,2.25,1.2345679012345678,2025-06-02 17:00:00,1.2345679012345678,1.2345679012345678,1.2345679012345678,79.83193277310924,0.03000000000000025,1071.0
38,2025-06-02,18:00:00,484.0,7.98,88.0,7.94,2.25,1.2345679012345678,2025-06-02 18:00:00,1.2345679012345678,1.2345679012345678,1.2345679012345678,81.81818181818183,-0.040000000000000036,1089.0
39,2025-06-02,19:00:00,480.0,8.27,95.0,7.95,2.21,1.256913021618904,2025-06-02 19:00:00,1.2345679012345678,1.2345679012345678,1.2345679012345678,80.20833333333334,-0.3199999999999994,1060.8
40,2025-06-02,20:00:00,450.0,8.24,93.0,7.91,2.21,1.256913021618904,2025-06-02 20:00:00,1.256913021618904,1.2345679012345678,1.2345679012345678,79.33333333333333,-0.33000000000000007,994.5
41,2025-06-02,21:00:00,459.0,8.19,97.0,7.96,2.21,1.256913021618904,2025-06-02 21:00:00,1.256913021618904,1.256913021618904,1.2345679012345678,78.86710239651417,-0.22999999999999954,1014.39
42,2025-06-02,22:00:00,451.0,8.11,92.0,7.99,2.21,1.256913021618904,2025-06-02 22:00:00,1.256913021618904,1.256913021618904,1.256913021618904,79.6008869179601,-0.11999999999999922,996.71
43,2025-06-02,23:00:00,466.0,8.0,88.0,8.05,2.21,1.256913021618904,2025-06-02 23:00:00,1.256913021618904,1.256913021618904,1.256913021618904,81.11587982832617,0.05000000000000071,1029.86
69,2025-06-03,00:00:00,366.0,8.12,124.0,7.91,2.09,1.063264221158958,2025-06-03 00:00:00,1.256913021618904,1.256913021618904,1.256913021618904,66.12021857923497,-0.20999999999999908,764.9399999999999
70,2025-06-03,01:00:00,375.0,8.15,120.0,8.02,2.09,1.063264221158958,2025-06-03 01:00:00,1.063264221158958,1.256913021618904,1.256913021618904,68.0,-0.13000000000000078,783.75
71,2025-06-03,02:00:00,368.0,8.13,121.0,7.98,2.09,1.063264221158958,2025-06-03 02:00:00,1.063264221158958,1.063264221158958,1.256913021618904,67.11956521739131,-0.15000000000000036,769.1199999999999
72,2025-06-03,03:00:00,366.0,8.17,127.0,7.92,2.05,1.0840108401084012,2025-06-03 03:00:00,1.063264221158958,1.063264221158958,1.063264221158958,65.30054644808743,-0.25,750.3
73,2025-06-03,04:00:00,362.0,8.14,124.0,8.0,2.05,1.0840108401084012,2025-06-03 04:00:00,1.0840108401084012,1.063264221158958,1.063264221158958,65.74585635359117,-0.14000000000000057,742.0999999999999
74,2025-06-03,05:00:00,371.0,8.12,126.0,7.97,2.05,1.0840108401084012,2025-06-03 05:00:00,1.0840108401084012,1.0840108401084012,1.063264221158958,66.0377358490566,-0.14999999999999947,760.55
75,2025-06-03,06:00:00,379.0,8.16,130.0,7.95,2.05,1.0840108401084012,2025-06-03 06:00:00,1.0840108401084012,1.0840108401084012,1.0840108401084012,65.69920844327177,-0.20999999999999996,776.9499999999999
52,2025-06-03,07:00:00,430.0,7.8,98.0,7.9,2.17,1.2800819252432156,2025-06-03 07:00:00,1.0840108401084012,1.0840108401084012,1.0840108401084012,77.20930232558139,0.10000000000000053,933.1
53,2025-06-03,08:00:00,425.0,7.75,126.0,7.56,2.17,1.2800819252432156,2025-06-03 08:00:00,1.2800819252432156,1.0840108401084012,1.0840108401084012,70.35294117647058,-0.1900000000000004,922.25
54,2025-06-03,09:00:00,427.0,7.78,120.0,7.6,2.17,1.2800819252432156,2025-06-03 09:00:00,1.2800819252432156,1.2800819252432156,1.0840108401084012,71.89695550351288,-0.1800000000000006,926.5899999999999
55,2025-06-03,10:00:00,426.0,7.86,117.0,7.64,2.17,1.0240655401945724,2025-06-03 10:00:00,1.2800819252432156,1.2800819252432156,1.2800819252432156,72.53521126760563,-0.22000000000000064,924.42
56,2025-06-03,11:00:00,418.0,7.9,102.0,7.7,2.17,1.0240655401945724,2025-06-03 11:00:00,1.0240655401945724,1.2800819252432156,1.2800819252432156,75.5980861244019,-0.20000000000000018,907.06
57,2025-06-03,12:00:00,420.0,7.85,73.0,7.87,2.17,1.0240655401945724,2025-06-03 12:00:00,1.0240655401945724,1.0240655401945724,1.2800819252432156,82.61904761904762,0.020000000000000462,911.4
58,2025-06-03,13:00:00,436.0,7.81,84.0,7.84,2.17,1.0240655401945724,2025-06-03 13:00:00,1.0240655401945724,1.0240655401945724,1.0240655401945724,80.73394495412845,0.03000000000000025,946.12
59,2025-06-03,14:00:00,418.0,7.79,91.0,7.74,2.17,1.0240655401945724,2025-06-03 14:00:00,1.0240655401945724,1.0240655401945724,1.0240655401945724,78.22966507177034,-0.04999999999999982,907.06
60,2025-06-03,15:00:00,411.0,7.73,94.0,7.66,2.13,1.0432968179447053,2025-06-03 15:00:00,1.0240655401945724,1.0240655401945724,1.0240655401945724,77.12895377128953,-0.07000000000000028,875.43
61,2025-06-03,16:00:00,404.0,7.75,89.0,7.62,2.13,1.0432968179447053,2025-06-03 16:00:00,1.0432968179447053,1.0240655401945724,1.0240655401945724,77.97029702970298,-0.1299999999999999,860.52
