Unnamed: 0,No,Date,Time,Inlet TSS (mg/L),Inlet pH,Outlet TSS (mg/L),Outlet pH,Inlet Disch (m3/s),Dosis Alum (ppm),Dosis Lime (ppm),Dosis CL-80 (ppm)
,1,2025-06-01,06:30:00,936.0,7.98,225.0,7.94,2.33,0.0,0.0,0.0
,2,2025-06-01,07:00:00,940.0,7.95,227.0,7.91,2.33,0.0,0.0,4.172627563185503
,3,2025-06-01,08:00:00,937.0,7.92,221.0,7.67,2.29,0.0,0.0,4.245511887433285
,4,2025-06-01,09:00:00,921.0,7.96,209.0,7.69,2.29,0.0,0.0,3.6390101892285296
,5,2025-06-01,10:00:00,873.0,7.93,192.0,7.71,2.29,0.0,0.0,3.6390101892285296
,6,2025-06-01,11:00:00,858.0,7.9,173.0,7.78,2.33,0.0,0.0,2.384358607534573
,7,2025-06-01,12:00:00,797.0,7.79,160.0,7.86,2.37,0.0,0.0,2.344116268166901
,8,2025-06-01,13:00:00,765.0,7.83,145.0,7.95,2.42,0.0,0.0,2.2956841138659323
,9,2025-06-01,14:00:00,747.0,7.88,129.0,7.91,2.42,0.0,0.0,2.2956841138659323
,10,2025-06-01,15:00:00,728.0,7.81,117.0,7.85,2.46,0.0,0.0,2.2583559168925023
,11,2025-06-01,16:00:00,725.0,7.79,110.0,7.88,2.46,0.0,0.0,2.2583559168925023
,12,2025-06-01,17:00:00,759.0,7.8,99.0,7.73,2.46,0.0,0.0,2.2583559168925023
,13,2025-06-01,18:00:00,774.0,7.88,95.0,7.71,2.46,0.0,0.0,2.2583559168925023
,14,2025-06-01,19:00:00,734.0,7.34,107.0,7.63,2.37,0.0,0.0,2.344116268166901
,15,2025-06-01,20:00:00,741.0,7.3,103.0,7.68,2.37,0.0,0.0,2.344116268166901
,16,2025-06-01,21:00:00,738.0,7.33,105.0,7.65,2.37,0.0,0.0,2.344116268166901
,17,2025-06-01,22:00:00,724.0,7.38,89.0,7.67,2.33,0.0,0.0,2.384358607534573
,18,2025-06-01,23:00:00,712.0,7.42,73.0,7.62,2.33,0.0,0.0,2.384358607534573
,19,2025-06-01,00:00:00,703.0,7.49,66.0,7.64,2.29,0.0,0.0,2.4260067928190194
,20,2025-06-01,01:00:00,697.0,7.52,65.0,7.61,2.29,0.0,0.0,2.4260067928190194
,21,2025-06-01,02:00:00,705.0,7.55,68.0,7.6,2.29,0.0,0.0,2.4260067928190194
